# Sample flow file,,,,,,,
# Scenario B flow,,,,,,,
# To be processed using flow stress calculator (FlowStress_main.py),,,,,,,
# Robert Morden University of Melbourne February 2024,,,,,,,
,year,month,C1,C2,C3,C4,C5
1900-04-01,1900,4,105.9156,492.4072,1732.4616,7746.9758,246.4652
1900-05-01,1900,5,111.0188,1356.1977,2829.7961,13742.4934,332.7996
1900-06-01,1900,6,253.3512,2586.6017,4605.0342,18333.3802,3496.4511
1900-07-01,1900,7,50.7355,1248.6018,2428.4486,7240.5205,141.1386
1900-08-01,1900,8,394.5494,4504.6169,11848.5333,27629.0456,6778.0928
1900-09-01,1900,9,152.2705,2193.5447,6434.1432,17027.6497,1544.3381
1900-10-01,1900,10,52.1323,194.8961,2027.13,3577.6141,7.8644
1900-11-01,1900,11,16.8981,105.6709,544.3217,988.797,0.0281
1900-12-01,1900,12,8.7506,105.9776,194.6524,439.4221,0.0015
1901-01-01,1901,1,46.9431,190.6891,369.9222,1363.5251,2.7803
1901-02-01,1901,2,5.3727,99.384,63.668,290.7024,0.0143
1901-03-01,1901,3,34.1456,178.7482,273.2317,1020.6446,0.2175
1901-04-01,1901,4,191.3347,722.7286,2416.3238,8999.733,98.5153
1901-05-01,1901,5,41.0785,155.1817,477.1383,2086.3813,1.2392
1901-06-01,1901,6,185.3924,675.6393,1159.1287,5996.5729,75.6473
1901-07-01,1901,7,53.2031,341.833,539.6731,4347.2196,6.2717
1901-08-01,1901,8,60.7489,1002.5376,1629.2597,9836.8909,66.4466
1901-09-01,1901,9,162.689,757.2718,1988.0603,9466.0731,228.7065
1901-10-01,1901,10,100,345.2871,1049.8226,3142.7554,59.3856
1901-11-01,1901,11,25.7794,106.583,250.3312,859.0574,0.3998
1901-12-01,1901,12,7.2167,101.1431,83.6318,341.9739,0.0285
1902-01-01,1902,1,18.0295,126.0344,105.6144,455.4516,0.0134
1902-02-01,1902,2,7.7457,100,69.0796,350.7271,0.0331
1902-03-01,1902,3,65.5678,187.918,335.0018,1533.5998,0.2534
1902-04-01,1902,4,7.0092,100,47.6437,303.4237,0.0013
1902-05-01,1902,5,8.6465,108.8966,98.7683,303.9909,0.0035
1902-06-01,1902,6,100,298.8518,996.4518,2475.8515,2.7884
1902-07-01,1902,7,17.8202,111.301,261.4483,801.8656,0.1869
1902-08-01,1902,8,11.897,126.2367,217.5052,697.4235,0.3584
1902-09-01,1902,9,47.8533,198.6029,602.3346,2089.4574,4.2354
1902-10-01,1902,10,19.336,121.6246,206.3755,769.0078,0.0798
1902-11-01,1902,11,3.9244,96.618,52.517,256.4153,0.001
1902-12-01,1902,12,120.6007,745.3242,2085.7129,7384.999,25.9128
1903-01-01,1903,1,24.5723,100,328.6015,1210.0455,0.14
1903-02-01,1903,2,21.8046,100,222.6283,769.3355,0.2386
1903-03-01,1903,3,37.89,184.8694,351.486,2064.2808,3.9404
1903-04-01,1903,4,149.7921,293.1922,1345.1258,6547.6104,43.7576
1903-05-01,1903,5,52.938,143.6483,426.5451,2441.4678,1.2581
1903-06-01,1903,6,97.454,306.7282,1002.6711,7735.1533,30.7182
1903-07-01,1903,7,226.4317,1045.8459,4066.7411,15987.9693,560.9415
1903-08-01,1903,8,49.3221,141.2941,938.3473,3710.1339,46.4828
1903-09-01,1903,9,135.4446,1303.1975,2486.1292,11389.1628,237.1184
1903-10-01,1903,10,100,606.5755,1375.2396,5833.6132,30.2234
1903-11-01,1903,11,327.5118,814.0399,1906.3612,9348.0472,211.5899
1903-12-01,1903,12,83.5139,145.7231,639.2734,2490.1551,3.6381
1904-01-01,1904,1,227.1717,492.4268,1462.0281,12340.5,58.8124
1904-02-01,1904,2,143.6453,581.2199,1418.6068,12986.0329,93.334
1904-03-01,1904,3,26.8857,100,267.1343,1526.9429,1.0655
1904-04-01,1904,4,9.8735,97.8242,110.2528,596.0329,0.5017
1904-05-01,1904,5,101.2265,334.4101,1042.2731,4634.6024,47.4867
1904-06-01,1904,6,289.4714,862.1855,2515.6579,10510.7772,207.1779
1904-07-01,1904,7,100,735.4901,2155.771,11437.3296,1565.0518
1904-08-01,1904,8,112.7117,530.6045,2399.8886,8644.6439,1584.41
1904-09-01,1904,9,56.9162,427.9865,1153.9454,3668.9189,191.5443
1904-10-01,1904,10,135.0658,617.8415,1841.46,6838.967,172.3358
1904-11-01,1904,11,47.8592,177.7471,588.9531,2064.3488,8.5051
1904-12-01,1904,12,8.8842,98.3519,139.9524,489.7993,0.0407
1905-01-01,1905,1,7.0037,100,75.9835,450.8202,0.5476
1905-02-01,1905,2,6.7291,91.886,47.268,260.2802,0.0518
1905-03-01,1905,3,1.2893,96.0426,13.1121,142.7344,0.0045
1905-04-01,1905,4,27.9795,126.354,171.2342,672.7386,0.1285
1905-05-01,1905,5,100,512.0737,1919.6794,5277.6154,21.2259
1905-06-01,1905,6,95.7193,235.5093,838.8643,2244.1304,5.2805
1905-07-01,1905,7,350.8231,1518.003,4946.4016,11977.1387,67.158
1905-08-01,1905,8,72.0843,277.7325,1275.868,3424.6678,1.3791
1905-09-01,1905,9,119.8199,602.9848,1939.2312,7670.3365,99.9933
1905-10-01,1905,10,264.1818,1585.397,3254.9843,9847.595,66.1767
1905-11-01,1905,11,53.4033,133.6017,649.8253,1600.6928,1.0273
1905-12-01,1905,12,88.8042,157.9908,469.9362,1183.7133,0.2031
1906-01-01,1906,1,11.2393,97.7296,99.6131,296.708,0.001
1906-02-01,1906,2,4.8053,89.4875,41.0079,167.7505,0.0034
1906-03-01,1906,3,130.9923,313.38,1056.0576,3859.353,7.1983
1906-04-01,1906,4,23.7987,97.0172,178.7947,696.0553,0.0389
1906-05-01,1906,5,100,269.159,1012.2256,3253.7709,25.2788
1906-06-01,1906,6,230.9292,965.6342,2409.6518,7730.9285,105.8644
1906-07-01,1906,7,219.5799,1440.4649,3901.0941,13055.2108,709.88
1906-08-01,1906,8,197.5113,2045.7623,4094.3477,15142.0006,606.7951
1906-09-01,1906,9,436.684,2565.4798,4540.3292,15748.5148,630.1748
1906-10-01,1906,10,673.3652,2479.6513,6731.9573,21049.0004,3341.3591
1906-11-01,1906,11,564.8099,1527.91,4728.8158,14035.8509,1784.5801
1906-12-01,1906,12,79.8765,109.6851,879.4369,1836.8536,2.5727
1907-01-01,1907,1,21.6504,105.7835,292.7004,625.3864,0.0041
1907-02-01,1907,2,8.4469,100,100.184,290.3108,0.0037
1907-03-01,1907,3,3.3611,107.3914,49.2747,250.2371,0.0025
1907-04-01,1907,4,134.9521,436.4212,1116.5458,3502.4221,32.71
1907-05-01,1907,5,72.8577,224.5132,604.9031,2060.4312,3.5444
1907-06-01,1907,6,23.9729,195.1621,345.6383,1796.7712,5.1391
1907-07-01,1907,7,100,428.6492,1529.6243,3766.7228,17.2392
1907-08-01,1907,8,157.6701,1436.0463,4381.6545,11861.0867,295.7508
1907-09-01,1907,9,33.9965,205.8365,976.2183,2515.3586,5.7144
1907-10-01,1907,10,16.8608,126.1114,414.2217,1164.688,1.0493
1907-11-01,1907,11,47.5027,133.778,289.1708,779.2231,0.1692
1907-12-01,1907,12,215.072,442.9716,1626.8346,5742.6833,118.5813
1908-01-01,1908,1,29.4451,102.0335,237.6086,935.8971,0.6059
1908-02-01,1908,2,7.6709,97.4707,76.4463,334.6406,0.0042
1908-03-01,1908,3,28.2169,129.865,200.541,768.9157,0.3439
1908-04-01,1908,4,3.314,100,33.3567,207.8785,0.0018
1908-05-01,1908,5,57.0742,141.4554,322.689,738.8185,0.2252
1908-06-01,1908,6,100,280.4342,1043.4599,2321.085,6.142
1908-07-01,1908,7,24.9171,122.152,304.8017,1110.1129,1.023
1908-08-01,1908,8,48.1749,243.6921,857.9621,1801.2984,1.2047
1908-09-01,1908,9,253.5038,1097.0399,4263.6482,9644.4369,121.0805
1908-10-01,1908,10,121.664,545.5917,2355.5928,6308.7927,10.6264
1908-11-01,1908,11,56.8005,127.8287,676.8378,1695.8597,0.2588
1908-12-01,1908,12,11.2579,100,184.8443,503.4734,0.0021
1909-01-01,1909,1,20.4162,120.0235,166.6324,895.4097,1.1035
1909-02-01,1909,2,9.4245,100,74.2815,384.273,0.0074
1909-03-01,1909,3,20.4027,124.1731,169.7223,893.8492,0.6195
1909-04-01,1909,4,89.0761,253.6255,649.2067,2069.5822,1.0765
1909-05-01,1909,5,289.5224,904.0057,1606.5,6033.8609,13.4536
1909-06-01,1909,6,278.0292,2375.4306,4368.8129,16777.5314,269.8123
1909-07-01,1909,7,100,2280.2555,3828.9205,12914.8523,22.9978
1909-08-01,1909,8,1588.5847,7696.0408,21824.2795,47593.7084,8915.6287
1909-09-01,1909,9,223.7234,696.8187,5375.0428,9299.4371,60.1383
1909-10-01,1909,10,96.4192,183.8571,1706.4901,2911.5582,4.0682
1909-11-01,1909,11,22.0819,127.546,513.8482,1015.4576,0.2319
1909-12-01,1909,12,48.6697,138.3373,312.5247,884.1254,0.8206
1910-01-01,1910,1,27.5497,120.965,149.3255,526.289,0.0606
1910-02-01,1910,2,5.1482,103.9464,36.6748,191.3779,0.0003
1910-03-01,1910,3,102.308,200.2688,722.3404,1731.3687,5.0971
